Date Issued,Number of Invitations,Date Profiles Created,Score Range,Notes,Year
13-Jul-21,431,"April 28, 2021 - July 13, 2021",62 and above,General draw,2021
16-Jun-21,371,"April 28, 2021 - June 16, 2021",66 and above,General draw,2021
18-May-21,138,"April 28, 2021 - May 18, 2021",77 and above,General draw,2021
13-Jul-21,19,"April 28, 2021 - July 13, 2021",,Targeted draw for Regional Immigration Pilot candidates,2021
21-Sep-21,30,"April 28, 2021 - September 21, 2021",,Targeted draw for Regional Immigration Pilot candidates,2021
21-Sep-21,523,"April 28, 2021 - September 21, 2021",61 and above,General Draw,2021
07-Dec-21,37,"April 28, 2021 - December 7, 2021",,Targeted draw for Regional Immigration Pilot candidates,2021
07-Dec-21,583,"April 28, 2021 - December 7, 2021",62 and above,General Draw,2021
26-May-21,147,"April 28, 2021 - May 26, 2021",73 and above,General draw,2021
26-May-21,11,"April 28, 2021 - May 26, 2021",,Targeted draw for Regional Immigration Pilot candidates,2021
29-Jun-22,424,"June 29, 2021 - June 29, 2022",74 and above,General draw,2022
01-Mar-22,215,"April 28, 2021 - March 1, 2022",42 and above,Targeted draw for skilled trades occupations,2022
01-Mar-22,411,"April 28, 2021 - March 1, 2022",72 and above,General draw,2022
11-Jan-22,762,"April 28, 2021 - January 11, 2022",59 and above,General draw,2022
01-Jun-22,229,"June 1, 2021 - June 1, 2022",79 and above,General draw,2022
01-Jun-22,217,"June 1, 2021 - June 1, 2022",62 and above,Targeted draw for skilled trades occupations,2022
15-Aug-23,408,"November 22, 2022 - August 15, 2023",61 and above,Targeted draw for skilled trades occupations,2023
15-Aug-23,445,"November 22, 2022 - August 15, 2023",61 and above,Targeted draw for tech and health occupations,2023
09-May-23,584,"November 22, 2022 - May 9, 2023",62 and above,Targeted draw for tech and health occupations,2023
14-Mar-23,606,"November 22, 2022 - March 14, 2023",70 and above,Targeted draw for tech and health occupations,2023
24-Jan-23,620,"November 22, 2022 - January 24, 2023",82 and above,General Draw,2023
14-Mar-23,300,"November 22, 2022 - March 14, 2023",74 and above,Targeted draw for skilled trades occupations,2023
08-Feb-24,1252,"February 8, 2023 - February 8, 2024",73 and above,Targeted draw for health and tech occupations,2024
08-Feb-24,1182,"February 8, 2023 - February 8, 2024",78 and above,General Draw,2024
12-Mar-24,684,"March 12, 2023 - March 12, 2024",72 and above,Targeted draw for health and tech occupations,2024
12-Mar-24,649,"March 12, 2023 - March 12, 2024",66 and above,Targeted draw for skilled trades occupations,2024
12-Mar-24,1306,"March 12, 2023 - March 12, 2024",72 and above,General Draw,2024
11-Jun-24,120,"June 11, 2023 - June 11, 2024",65 and above,Targeted draw for Early childhood educators and assistants candidates,2024
17-Jun-24,84,"June 17, 2023 - June 17, 2024",60 and above,Targeted draw for Early childhood educators and assistants candidates,2024
16-Jul-24,424,"July 16, 2023 - July 16, 2024",81 and above,Targeted draw for health occupations,2024
16-Jul-24,839,"July 16, 2023 - July 16, 2024",77 and above,Targeted draw for other priority occupations,2024
10-Sep-24,1017,"September 10, 2023 - September 10, 2024",67 and above,Targeted draw for skilled trades,2024
10-Sep-24,806,"September 10, 2023 - September 10, 2024",67 and above,Targeted draw for health professions,2024
